Ball#,Pin Name,Signal Name,Function,Ball Reset Rel. Function,Type,Ball Reset State,Pull Up/Down,Buffer Strength,(mA),Power Supply
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_D2,2,,I,,,,,
,,TS0_D2,3,,I,,,,,
D10,PE6,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_D3,2,,I,,,,,
,,TS0_D3,3,,I,,,,,
C8,PE7,,,Function7,,Z,PU/PD,20,VCC-IO,
,,TS1_CLK,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_D4,2,,I,,,,,
,,TS0_D4,3,,I,,,,,
C11,PE8,,,Function7,,Z,PU/PD,20,VCC-IO,
,,TS1_ERR,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_D5,2,,I,,,,,
,,TS0_D5,3,,I,,,,,
C12,PE9,,,Function7,,Z,PU/PD,20,VCC-IO,
,,TS1_SYNC,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_D6,2,,I,,,,,
,,TS0_D6,3,,I,,,,,
E8,PE10,,,Function7,,Z,PU/PD,20,VCC-IO,
,,TS1_DVLD,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_D7,2,,I,,,,,
,,TS0_D7,3,,I,,,,,
A11,PE11,,,Function7,,Z,PU/PD,20,VCC-IO,
,,TS1_D0,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,CSI_SCK,2,,I/O,,,,,
,,TWI2_SCK,3,,I/O,,,,,
B12,PE12,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
C7,PE13,CSI_SDA,2,Function7,I/O,Z,PU/PD,20,VCC-IO,
,,TWI2_SDA,3,,I/O,,,,,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,Reserved,2,,NA,,,,,
,,SIM1_VPPEN,3,,O,,,,,
C6,PE14,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,Reserved,2,,NA,,,,,
,,SIM1_VPPPP,3,,O,,,,,
C5,PE15,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,Reserved,6,,NA,,,,,
,,IO Disable,7,,OFF,,,,,
GPIOF,,,,,,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,SDC0_D1,2,,I/O,,,,,
,,JTAG_MS,3,,I,,,,,
D19,PF0,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,PF_EINT0,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,SDC0_D0,2,,I/O,,,,,
,,JTAG_DI,3,,I,,,,,
A19,PF1,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,PF_EINT1,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,SDC0_CLK,2,,O,,,,,
,,UART0_TX,3,,O,,,,,
D20,PF2,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,PF_EINT2,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
,,Input,0,,I,,,,,
,,Output,1,,O,,,,,
,,SDC0_CMD,2,,I/O,,,,,
,,JTAG_DO,3,,O,,,,,
F18,PF3,,,Function7,,Z,PU/PD,20,VCC-IO,
,,Reserved,4,,NA,,,,,
,,Reserved,5,,NA,,,,,
,,PF_EINT3,6,,I,,,,,
,,IO Disable,7,,OFF,,,,,
